Service,Owner,Launched,Primary service,Software license,Content license,Multilingual,Ad-free
GNU social,Open source,2010,Microblogging,AGPLv3,CC-BY 3.0,yes,yes
Diaspora,Open source,2010-11,social network,AGPLv3,AGPLv3,yes,yes
Facebook," Facebook, Inc.",2004-02,social network,proprietary,own TOS,yes,no
Gab," Gab AI, Inc.",2016-08,microblogging,proprietary,own TOS,yes,yes
Loforo,DevZero LLC,2020-06,microblogging,proprietary,own TOS,yes,yes
micro.blog,Riverfold Software,2017-04,microblogging,???,???,Yes,Yes
identi.ca," Status Net, Inc.",2008-07,microblogging,Apache v2 (pump.io),CC-BY 3.0,yes,yes
Tout,Tout,2010-04,microblogging,proprietary,own TOS,Yes,yes
Twitter," Twitter, Inc.",2006-08,microblogging,proprietary,own TOS,Yes,no
Yammer," Yammer, Inc.",2008-09,microblogging,proprietary,own TOS,Yes,yes
Mastodon,Open source,2016-10,microblogging,AGPLv3,own TOS,Yes,Yes
Misskey,Open source,2014,microblogging,AGPLv3,own TOS,Yes,Yes
Pleroma,Open source,2017,microblogging,AGPLv3,own TOS,Yes,Yes
Twister,Open source,2013,microblogging,MIT and BSD licenses,own TOS,Yes,Yes
Twtxt,Open source,2016,microblogging,MIT,own TOS,Yes,Yes
Tumblr,Automattic,2007,microblogging,proprietary,own TOS,Yes,No
