Software,Web-based,On-premises software,Software as a service,Software license,Programming language
2-plan project management software,Yes[1],Yes,Yes," Proprietary software, Proprietary softwareProprietary software ",Java (programming language) and Java (programming language)
24SevenOffice,Yes,No,Yes,Proprietary software,
Actionspace,Yes,No,Yes,Proprietary software,
Apache Allura,Yes,Yes,,Apache License,Python (programming language)
Apache OFBiz,Yes,Yes,Yes,Apache License," Java (programming language), Java (programming language), Java (programming language), Java (programming language), Java (programming language) "
Apache Bloodhound,Yes,Yes,Yes,Apache License,Python (programming language)
Asana (software),Yes,No,Yes,Proprietary software,
Assembla,Yes,Yes,Yes,Proprietary software,
Axosoft,Yes,Yes,Yes,Proprietary software,
Basecamp Classic,Yes[3],No[4],Yes,Proprietary software,Ruby (programming language)
BigGantt,Yes,Yes,Yes,Proprietary software," Java, Angular "
BigPicture,Yes,Yes,Yes,Proprietary software," Java, Angular "
Calligra Plan,No,File-based,No,GPL,C++ and C++
CEITON,Yes,Yes,Yes,Proprietary software," ASP.NET, ASP.NET "
Clarizen,Yes[5],No,Yes[5],Proprietary software,
Clubhouse Software,Yes,,Yes,," Clojure, Clojure "
Collabtive,Yes,Yes,Yes,Open source software (core only),PHP
Compuware Changepoint,Yes,Yes,Yes,Proprietary software,
ConceptDraw Project,No,Yes,No,Proprietary software,
ConceptDraw Project,Yes,No,Yes,Proprietary software,PHP and PHP
Copper Project,Yes,Yes,Yes,Proprietary software,
DotProject,Yes,Yes,Yes,GPL,PHP
DynaRoad,No,Unknown,Unknown,Proprietary software,
Easy projects,Yes[6],Yes[6],Yes[6],Proprietary software,ASP.NET
Eclipse PPM software,Yes,No,Yes,Proprietary software,
Endeavour Software Project Management,Yes,Unknown,Unknown,GPL,Java (programming language)
EGroupWare,Yes,Unknown,Unknown,GPL,PHP
EnQuire,Yes,Unknown,Yes,Proprietary software,Java (programming language)
FastTrack Schedule,No,Yes,No,Proprietary software,
Feng Office Community Edition,Yes,Yes,Yes,Affero General Public License,PHP
FinancialForce.com,Yes,Unknown,Yes,Proprietary software,
FogBugz,Yes,Yes,Yes,Proprietary software,ASP.NET
Fossil (software),Yes[7],Yes[8],Yes[9],BSD licence,SQLite and SQLite
Freedcamp,Yes,No,Yes,Proprietary software,
FusionForge,Yes,Yes,Unknown,GPL,PHP
GanttProject,No,Yes,Unknown,GPL,Java (programming language)
Genius Project,Yes,Yes,Yes,Proprietary software,
Group-Office,Yes,Yes,Yes,Proprietary software,
GroveSite,Yes,Unknown,Yes,Unknown,
Hall.com (software),Yes,Unknown,Yes,Unknown,
Helix ALM,Yes,Yes,Yes,Proprietary software,C++
HeySpace,Yes,No,Yes,Proprietary software,JavaScript
HP Software &amp; Solutions,Yes,Yes,Unknown,Proprietary software,
Huddle (software),Yes,Unknown,Unknown,Proprietary software,
Hyperoffice,Yes,Unknown,Unknown,Proprietary software,
Imanageproject,Yes,Unknown,Yes,Unknown,
InLoox,Yes,Yes,Yes,Proprietary software,
In-Step BLUE,Yes,Yes,No,Proprietary software,
IRise,Yes,Yes,Yes,Proprietary software,Java (programming language)
Jira (software),Yes,Yes,Yes,Proprietary software,Java (programming language)
Launchpad (website),Yes,No,Yes,Affero General Public License,Python (programming language)
LibrePlan,Yes,Yes,Yes,Affero General Public License,Java (programming language)
LiquidPlanner,Yes,No,Yes,Proprietary software,Ruby (programming language)
LisaProject,No,Unknown,Unknown,Proprietary software,
MacProject,No,Unknown,Unknown,Proprietary software,
Mantis Bug Tracker,Yes,Yes,No,GPL,PHP
Métier,Yes,Yes,Yes,Proprietary software,
Microsoft Dynamics AX,No,Yes,No,Proprietary software,Microsoft Dynamics AX
Microsoft Office Project Server,Yes,Yes,Yes,Proprietary software,
Microsoft Project,Yes,Yes,Yes,Proprietary software,
Microsoft SharePoint Server,Yes,Yes,Yes,Proprietary software,
Team Foundation Server,Yes,Yes,Yes,Proprietary software,
Milestones Professional,No,Yes,No,Proprietary software,C++
Mingle,Yes,Yes,Yes,Proprietary software,Ruby on Rails
WorkPLAN,No,Unknown,Unknown,Proprietary software,
NetPoint,No,Unknown,Unknown,Proprietary software,
NetSuite,Yes,Unknown,Yes,Unknown,
O3Spaces,No,Unknown,Unknown,Proprietary software,
OmniPlan,No,Yes,No,Proprietary software,
Onepager pro,No,Yes,No,Proprietary software,ASP.NET
Open Workbench,No,Unknown,Unknown,Open source software,
OpenProj,No,Unknown,Yes,CPAL,Java (programming language)
OpenProject,Yes,Yes,Yes,GPL,Ruby on Rails and Ruby on Rails
OnlyOffice,Yes,Yes,Yes,GPL,ASP.NET
Primavera (software) (Primavera P6),Yes,Yes,Yes,Proprietary software,
PhpGroupWare,Yes,Unknown,Unknown,GPL,PHP
PHProjekt,Yes,Unknown,Unknown,LGPL,PHP
