Implementation,HMAC-HMAC,HMAC-HMAC,HMAC-HMAC,Authenticated encryption,GOST 28147-89GOST 28147-89,GOST (hash function)GOST (hash function)
Botan (programming library),No,Yes,Yes,Yes,No,No
Cryptlib,Yes,Yes,Yes,Yes,No,No
GnuTLS,Yes,Yes,Yes,Yes,No,No
Java Secure Socket Extension,Yes,Yes,Yes,Yes,No[85],No[85]
LibreSSL,Yes,Yes,Yes,Yes,Yes[86],Yes[86]
MatrixSSL,Yes,Yes,Yes,Yes,No,No
Mbed TLS,Yes,Yes,Yes,Yes,No,No
Network Security Services,Yes,Yes,Yes,Yes,No[88][89],No[88][89]
OpenSSL,Yes,Yes,Yes,Yes,Yes[90],Yes[90]
RSA BSAFE,Yes,Yes,Yes,Yes,No,No
SChannel,Yes,Yes," XP SP3, 2003 SP2 via hotfix[171] ",No,No[91],No[91]
SChannel,Yes,Yes,Yes,except ECDHE_RSA[93][94][95],No[91],No[91]
SChannel,Yes,Yes,Yes,Yes[142],No[91],No[91]
Secure Transport,Yes,Yes,Yes,No,No,No
WolfSSL,Yes,Yes,Yes,Yes,No,No
Erlang (programming language)/OTP SSL application,Yes,Yes,Yes,Yes,No,No
Implementation,HMAC-MD5,HMAC-SHA1,HMAC-SHA256/384,AEAD,GOST 28147-89 IMIT,GOST R 34.11-94
