Audio player,Lossy compression,,,,,,,,,Lossless compression,,,,,
,MP3,Windows Media Audio,RealAudio,Vorbis,Musepack,Advanced Audio Coding,Dolby AC-3,VQF,Opus (audio format),Monkey's Audio,FLAC,Apple Lossless,Shorten (file format),WavPack,Windows Media Audio
AIMP,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes[b],Yes,Yes,Yes,Yes,No,Yes,Yes
Amarok (audio)Amarok (audio)Amarok (audio)Amarok (audio),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Audacious (software),Yes,Yes,No,Yes,Yes,Yes,Yes,?,Yes[d],Yes,Yes,Yes,No,Yes,?
Audion (software),Yes,No,No,Yes,No,No,No,?,?,No,No,No,No,No,?
Banshee (media player),Yes,?,?,Yes,?,?,?,?,?,No,?,?,?,?,?
Cmus,Yes,Yes[d],No,Yes,Yes,Yes,Yes[d],?,Yes[e],Yes[d],Yes,Yes[d],Yes[d],Yes,?
Cog (software),Yes,No,No,Yes,Yes,Yes,No,?,?,Yes,Yes,Yes,Yes,Yes,?
Exaile,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?,Yes,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?
Foobar2000,Yes,Yes,No,Yes,Yes,Yes,Partial[a],No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Groove Music,Yes,Yes,No,No,?,Yes,Yes,?,?,?,Yes,?,?,?,?
JRiver Media Center,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
JuK,Yes,No,No,Yes,Yes,No,No,?,?,Yes,Yes,No,Yes,No,?
JRiver Media Center,Yes[audionotes 1],Yes,Yes,Yes,Yes,Yes,Yes,?,?,Yes,Yes,Yes,Yes,Yes,?
MediaMonkey,Yes,Yes,No,Yes,Yes,Partial[g],Partial[g],?,No,Yes,Yes,Yes,Partial[a],Partial[a],?
MPXPLAY,Yes,Yes,No,Yes,Yes,Yes,Yes,?,Partial[a],Yes,Yes,No,No,Yes,?
Music Player Daemon,Yes,Yes[d],Partial[d],Yes,Yes,Yes,Yes[d],Yes[d],Yes,Yes[d],Yes,Yes,Yes[d],Yes,?
MusicBee,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes[b],Yes,Yes,Yes,Yes,Yes[b],Yes,Yes
Musicmatch Jukebox,Yes,Yes,No,No,No,No,No,?,?,No,No,No,No,No,?
MusikCube,Yes,Partial[g],No,Yes,Partial[g],Partial[g],Partial[g],?,?,Yes,Yes,No,No,Partial[g],?
Quod Libet (software),Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?,Yes,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?
Rhapsody (online music service),Yes,Yes,Yes,No,No,Yes,No,?,?,No,No,No,No,No,?
Rhythmbox,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?,Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],Yes[f],?
Sayonara Player,Yes,?,?,Yes,?,?,No,?,Yes,?,Yes,?,?,?,?
Sonique (media player),Yes,Yes,No,Yes,Partial[g],Partial[g],No,?,?,No,No,No,No,No,?
SpotifySpotify,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Style Jukebox,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes
Winamp,Yes,Yes,Yes[a],Yes,Yes[a],Yes,?,?,?,?,Yes,?,?,Yes[a],?
XMMS,Yes,Partial[g],Partial[g],Partial[g],Yes,Yes,No,Yes[a],?,Partial[g],Yes,No,Partial[g],Yes,?
Xmplay,Yes,Yes[a],Yes[a],Yes,Yes[a],Yes[a],Yes[a],?,Yes[a],Yes[a],Yes[a],Yes[a],Yes[a],Yes[a],?
Zinf,Yes,No,No,Yes,No,No,No,?,?,No,No,No,No,No,?
Audio player,MP3,WMA,RealAudio,Vorbis,Musepack,AAC,Dolby AC-3,VQF,Opus,APE,FLAC,ALAC,SHN,WV,WMA L
